candy_name,num_votes
100 Grand,1339.4345
3 Musketeers,1352.05872
One dime,645.22172
One quarter,922.3301
Air Heads,1046.8293
Almond Joy,1006.95092
Baby Ruth,1138.29094
Boston Baked Beans,468.35648
Candy Corn,760.21926
Caramel Apple Pops,690.35362
Charleston Chew,779.50074
Chewey Lemonhead Fruit Mix,720.35256
Chiclets,490.49976
Dots,845.44152
Dum Dums,789.21112
Fruit Chews,861.77848
Fun Dip,783.7101
Gobstopper,935.66696
Haribo Gold Bears,1142.3948
Haribo Happy Cola,683.17916
Haribo Sour Bears,1028.2486
Haribo Twin Snakes,843.57544
Hersheys Kisses,1107.50908
Hersheys Krackel,1245.68962
Hersheys Milk Chocolate,1129.81002
Hersheys Special Dark,1184.72244
Jawbusters,562.54878
Junior Mints,1144.385
Kit Kat,1535.372
Laffy Taffy,827.79114
Lemonhead,782.82112
Lifesavers big ring gummies,1058.22784
Peanut butter M&Ms,1429.301
M&Ms,1331.4917
Mike & Ike,928.23432
Milk Duds,1101.28144
Milky Way,1461.99112
Milky Way Midnight,1216.01402
Milky Way Simply Caramel,1287.0668
Mounds,956.59508
Mr Good Bar,1090.52902
Nerds,1107.08092
Nestle Butterfinger,1414.71282
Nestle Crunch,1329.4136
Nik L Nip,448.90682
Now & Later,788.936
Payday,925.93194
Peanut M&Ms,1389.67576
Pixie Sticks,754.44672
Pop Rocks,825.31022
Red vines,746.97044
Reeses Miniatures,1637.32514
Reeses Peanut Butter cup,1683.6058
Reeses pieces,1468.6998
Reeses stuffed with pieces,1457.75802
Ring pop,705.81512
Rolo,1314.32572
Root Beer Barrels,594.07382
Runts,856.98288
Sixlets,694.44
Skittles original,1261.7028
Skittles wildberry,1102.0739
Nestle Smarties,757.74376
Smarties candy,919.91654
Snickers,1533.47564
Snickers Crisper,1190.58502
Sour Patch Kids,1197.27996
Sour Patch Tricksters,1056.51894
Starburst,1340.75256
Strawberry bon bons,691.57982
Sugar Babies,668.751
Sugar Daddy,644.6199
Super Bubble,546.0773
Swedish Fish,1097.22222
Tootsie Pop,979.65302
Tootsie Roll Juniors,861.37794
Tootsie Roll Midgies,914.73496
Tootsie Roll Snack Bars,993.07006
Trolli Sour Bites,943.46458
Twix,1632.85828
Twizzlers,909.32564
Warheads,780.23796
Welchs Fruit Snacks,887.51038
Werthers Original Caramel,838.08616
Whoppers,990.48226
